date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:37	111442/111442	---M-Z	200	added ('OK')	text/html	etag:%221b352-5bcbc2dee0380-gzip%22	https://rstheme.com/products/html/braintech/onepage6.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/onepage6.html	(from https://rstheme.com/products/html/braintech/)
18:16:38	92816/92816	---M-Z	200	added ('OK')	text/html	etag:%2216a90-5bb7cda475500-gzip%22	https://rstheme.com/products/html/braintech/onepage7.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/onepage7.html	(from https://rstheme.com/products/html/braintech/)
18:16:39	69803/69803	---M-Z	200	added ('OK')	text/html	etag:%22110ab-5bb7d24303b00-gzip%22	https://rstheme.com/products/html/braintech/onepage8.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/onepage8.html	(from https://rstheme.com/products/html/braintech/)
18:16:40	69665/69665	---M-Z	200	added ('OK')	text/html	etag:%2211021-5bb7ce7de5600-gzip%22	https://rstheme.com/products/html/braintech/onepage9.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/onepage9.html	(from https://rstheme.com/products/html/braintech/)
18:16:41	79223/79223	---M-Z	200	added ('OK')	text/html	etag:%2213577-5bb7cdd7f4e80-gzip%22	https://rstheme.com/products/html/braintech/onepage10.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/onepage10.html	(from https://rstheme.com/products/html/braintech/)
18:16:42	109252/109252	---M-Z	200	added ('OK')	text/html	etag:%221aac4-5bd33c87a6700-gzip%22	https://rstheme.com/products/html/braintech/onepage11.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/onepage11.html	(from https://rstheme.com/products/html/braintech/)
18:16:43	53484/53484	---M-Z	200	added ('OK')	text/html	etag:%22d0ec-5bd475e6bbd00-gzip%22	https://rstheme.com/products/html/braintech/onepage12.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/onepage12.html	(from https://rstheme.com/products/html/braintech/)
18:16:44	59986/59986	---M-Z	200	added ('OK')	text/html	etag:%22ea52-5bd233ea41900-gzip%22	https://rstheme.com/products/html/braintech/about.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/about.html	(from https://rstheme.com/products/html/braintech/)
18:16:45	49501/49501	---M-Z	200	added ('OK')	text/html	etag:%22c15d-5bd2364ab3480-gzip%22	https://rstheme.com/products/html/braintech/software-development.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/software-development.html	(from https://rstheme.com/products/html/braintech/)
18:16:46	39560/39560	---M-Z	200	added ('OK')	text/html	etag:%229a88-5bd236506c200-gzip%22	https://rstheme.com/products/html/braintech/web-development.html	/home/codingkrills/websites//braintech/rstheme.com/products/html/braintech/web-development.html	(from https://rstheme.com/products/html/braintech/)
